3,0,parent of
2,0,parent of
2,1,parent of
3,1,parent of
4,2,parent of
5,2,parent of
6,3,parent of
7,8,parent of
7,9,parent of
10,8,parent of
10,9,parent of
12,11,parent of
12,13,parent of
12,14,parent of
15,11,parent of
15,13,parent of
15,14,parent of
4,7,parent of
5,7,parent of
4,15,parent of
5,15,parent of
4,18,parent of
5,18,parent of
18,17,parent of
18,19,parent of
16,17,parent of
16,19,parent of
4,20,parent of
5,20,parent of
21,22,parent of
6,21,parent of
23,25,parent of
23,26,parent of
24,25,parent of
24,26,parent of
27,23,parent of
28,23,parent of
29,12,parent of
30,12,parent of
31,4,parent of
32,4,parent of
33,6,parent of
34,6,parent of
27,10,parent of
28,10,parent of
35,36,parent of
35,16,parent of
36,38,parent of
37,38,parent of
31,42,parent of
31,57,parent of
31,40,parent of
31,39,parent of
31,48,parent of
31,49,parent of
31,55,parent of
32,42,parent of
32,57,parent of
32,40,parent of
32,39,parent of
32,48,parent of
32,49,parent of
32,55,parent of
42,44,parent of
42,45,parent of
42,46,parent of
42,47,parent of
43,44,parent of
43,45,parent of
43,46,parent of
43,47,parent of
49,51,parent of
49,52,parent of
49,53,parent of
49,54,parent of
50,51,parent of
50,52,parent of
50,53,parent of
50,54,parent of
27,59,parent of
28,59,parent of
59,61,parent of
59,62,parent of
60,61,parent of
60,62,parent of
64,63,parent of
65,63,parent of
67,22,parent of
68,69,parent of
25,69,parent of
70,71,parent of
26,71,parent of
72,65,parent of
73,65,parent of
78,64,parent of
79,64,parent of
74,78,parent of
75,78,parent of
76,79,parent of
77,79,parent of
80,72,parent of
81,72,parent of
72,82,parent of
73,82,parent of
83,84,parent of
83,85,parent of
82,84,parent of
82,85,parent of
66,86,parent of
19,86,parent of
87,5,parent of
88,5,parent of
87,89,parent of
87,90,parent of
87,91,parent of
88,91,parent of
88,89,parent of
88,90,parent of
98,99,parent of
20,99,parent of
29,100,parent of
30,100,parent of
100,102,parent of
101,102,parent of
89,94,parent of
89,95,parent of
89,93,parent of
90,96,parent of
91,92,parent of
91,97,parent of
61,103,parent of
104,94,parent of
104,95,parent of
104,93,parent of
